ref,client_id,client_nom,type_credit,montant,duree,taux,score,statut,date_depot,agence_id
ENG-20453,CLI-10137,Mohamed Guedira,Mourabaha Immo,55402.44,240,6.23,68,Debloque,2026-05-25 14:25:22,AG-007
ENG-20454,CLI-10312,Abdellah Benjelloun,Mourabaha Immo,657419.04,240,5.21,38,Surveillance,2023-03-23 12:14:03,AG-005
ENG-20455,CLI-10389,Khadija Erraji,Mourabaha Immo,501001.19,120,8.29,25,Valide,2025-08-26 15:40:13,AG-006
ENG-20456,CLI-10305,Khalid Fikri,Mourabaha Immo,855871.88,180,8.76,33,Debloque,2024-10-11 12:43:00,AG-006
ENG-20457,CLI-10048,Amina Alaoui,Mourabaha Immo,593004.97,180,3.92,77,En analyse,2023-09-03 09:39:06,AG-001
ENG-20458,CLI-10277,Amine El Fassi,Mourabaha Immo,417486.02,180,6.77,27,Valide,2025-05-17 10:51:40,AG-007
ENG-20459,CLI-10160,Leila Bencheikh,Ijara,314075.73,240,7.11,35,Valide,2024-07-27 15:37:48,AG-003
ENG-20460,CLI-10373,Amina Fassi-Fihri,Mourabaha Auto,207737.49,36,6.55,27,Valide,2023-04-13 12:04:00,AG-006
ENG-20461,CLI-10383,Youssef Jai,Ijara,375600.58,180,4.62,80,Debloque,2023-02-21 17:46:42,AG-001
ENG-20462,CLI-10068,Youssef El Fassi,Mourabaha Immo,682271.94,240,8.02,88,Valide,2024-05-07 08:44:56,AG-008
ENG-20463,CLI-10100,Samira Guedira,Mourabaha Immo,725630.33,240,6.0,999,Surveillance,2024-03-05 17:33:56,AG-006
ENG-20464,CLI-10421,Youssef Mouline,Mourabaha Immo,528158.37,240,8.17,55,Debloque,2025-02-25 11:09:58,AG-004
ENG-20465,,Samira Hakim,Investissement PME,2074739.11,36,8.29,40,Surveillance,2024-12-24 13:57:24,AG-005
ENG-20466,CLI-10151,Hind Slaoui,Mourabaha Auto,209855.93,48,8.21,55,Debloque,2024-08-09 15:53:16,AG-010
ENG-20467,CLI-10366,Youssef Hakim,Mourabaha Immo,282213.19,180,8.0,88,Debloque,2023-09-24 10:04:50,AG-004
ENG-20468,CLI-10415,Driss Hakim,Mourabaha Immo,829268.48,240,6.67,34,En analyse,2024-12-24 09:59:11,AG-007
ENG-20469,CLI-10369,Youssef Ouazzani,Mourabaha Immo,361425.93,240,5.54,91,Debloque,2023-05-02 13:57:08,AG-009
ENG-20470,CLI-10495,Hind Tazi,Ijara,415122.49,120,8.99,39,Valide,2026-05-13 13:23:07,AG-010
ENG-20471,CLI-10020,Omar Fikri,Mourabaha Auto,257249.48,48,7.33,22,Valide,2025-01-09 09:34:39,AG-005
ENG-20472,CLI-10431,Karim Bencheikh,Mourabaha Auto,103324.87,60,7.44,74,En analyse,2024-06-09 11:00:58,AG-002
ENG-20473,CLI-10238,Hind Fassi-Fihri,Mourabaha Immo,596789.06,180,6.12,40,Debloque,2023-07-21 14:33:12,AG-002
ENG-20474,CLI-10291,Karim Erraji,Credit Tresorerie,103420.51,24,7.91,23,En analyse,2025-08-17 16:17:49,AG-005
ENG-20475,CLI-10155,Karim El Fassi,Ijara,63284.02,120,6.23,43,Debloque,2023-08-11 14:48:51,AG-010
ENG-20476,CLI-10027,Leila Lamrani,Mourabaha Immo,225296.38,120,8.1,65,Debloque,2025-09-18 08:05:55,AG-010
ENG-20477,CLI-10161,Karim El Amrani,Mourabaha Auto,168529.42,60,3.77,77,Debloque,2024-02-05 14:23:28,AG-002
ENG-20478,CLI-10356,Meryem Slaoui,Ijara,320059.28,180,7.45,60,Valide,2023-03-28 11:21:28,AG-004
ENG-20479,CLI-10248,Soukaina Benjelloun,Investissement PME,1420811.86,36,4.48,28,Debloque,2023-12-09 10:33:51,AG-004
ENG-20480,CLI-10429,Said Alaoui,Ijara,404773.82,240,5.74,35,Valide,2024-07-11 16:00:29,AG-002
ENG-20481,CLI-10316,Samira El Amrani,Ijara,386071.3,180,7.22,48,Valide,2023-12-14 09:54:47,AG-005
ENG-20482,CLI-10018,Fatima Bennani,Ijara,128127.81,180,6.04,62,Debloque,2024-10-08 13:39:11,AG-005
ENG-20483,CLI-10372,Hicham Ouazzani,Mourabaha Immo,455476.02,120,5.59,82,Valide,2025-02-24 09:45:29,AG-001
ENG-20484,CLI-10116,Said Hakim,Ijara,352807.93,180,4.89,79,En analyse,2025-01-05 11:27:03,AG-005
ENG-20485,CLI-10140,Asmaa Zniber,Ijara,518085.74,180,4.04,66,Valide,2024-12-03 08:54:29,AG-007
ENG-20486,CLI-10264,Karim Mouline,Mourabaha Immo,817960.02,240,5.19,21,Valide,2026-07-24 11:20:55,AG-003
ENG-20487,CLI-10455,Amine Kabbaj,Mourabaha Immo,673585.23,120,5.72,57,Surveillance,2024-09-28 11:02:17,AG-006
ENG-20488,CLI-10431,Karim Bencheikh,Mourabaha Immo,461504.36,240,4.43,36,Valide,2026-04-19 09:55:22,AG-002
ENG-20489,CLI-10022,Salma Jai,Ijara,513104.49,240,8.87,80,Debloque,2024-04-01 13:16:18,AG-004
ENG-20490,CLI-10175,Said Fikri,Mourabaha Immo,745266.65,120,7.76,83,Valide,2024-04-18 08:52:18,AG-010
ENG-20491,CLI-10051,Driss El Amrani,Mourabaha Auto,226014.81,36,7.34,74,Valide,2026-04-04 13:44:06,AG-008
ENG-20492,CLI-10135,Hassan Zniber,Credit Tresorerie,518510.97,24,3.99,33,Debloque,2023-06-10 09:41:42,AG-001
ENG-20493,CLI-10286,Omar El Amrani,Mourabaha Immo,1161576.46,180,6.09,21,Surveillance,2024-10-10 15:29:46,AG-003
ENG-20494,CLI-10233,Mohamed Hakim,Investissement PME,3280987.73,48,8.17,80,Contentieux,2023-12-18 09:07:24,AG-001
ENG-20495,CLI-10135,Hassan Zniber,Ijara,312145.24,180,5.03,77,En analyse,2024-04-18 16:18:26,AG-001
ENG-20496,CLI-10466,Imane Balafrej,Mourabaha Auto,407743.55,60,7.75,88,Valide,2023-09-15 11:03:12,AG-005
ENG-20497,CLI-10261,Fatima Guedira,Ijara,324006.75,180,8.82,59,Valide,2023-11-01 09:27:03,AG-008
ENG-20498,CLI-10048,Amina Alaoui,Mourabaha Auto,225814.6,24,3.97,20,Debloque,2023-03-14 14:06:07,AG-001
ENG-20499,CLI-10188,Soukaina Sbihi,Mourabaha Auto,497272.69,24,9.0,36,Debloque,2025-11-06 17:01:26,AG-007
ENG-20500,CLI-10280,Rachid El Fassi,Ijara,327210.35,240,7.33,80,Valide,2024-05-02 17:12:57,AG-003
ENG-20501,CLI-10291,Karim Erraji,Ijara,189605.41,180,5.02,64,Debloque,2024-03-04 10:44:41,AG-005
ENG-20502,CLI-10067,Hind Guedira,Mourabaha Auto,108784.39,36,7.48,54,Debloque,2026-03-17 08:01:44,AG-001
ENG-20503,CLI-10341,Abdellah Erraji,Mourabaha Immo,634050.08,240,8.41,45,Debloque,2023-10-23 12:10:43,AG-009
ENG-20504,CLI-10118,Omar El Fassi,Mourabaha Immo,1516558.93,180,6.24,21,Debloque,2024-12-25 13:46:28,AG-007
ENG-20505,CLI-10493,Leila Ouazzani,Investissement PME,1876368.84,84,7.54,68,En analyse,2026-07-26 13:19:56,AG-002
ENG-20506,CLI-10291,Karim Erraji,Investissement PME,1361044.03,84,3.94,69,Surveillance,2023-05-08 17:24:47,AG-005
ENG-20507,CLI-10393,Mehdi Slaoui,Mourabaha Immo,476393.62,180,4.51,62,Valide,2025-01-25 17:07:46,AG-007
ENG-20508,CLI-10154,Zineb Jai,Credit Tresorerie,30810.31,24,7.32,71,Debloque,2023-02-04 14:57:31,AG-007
ENG-20509,CLI-10265,Driss Slaoui,Investissement PME,1958259.95,84,6.66,95,Valide,2026-08-28 12:13:26,AG-002
ENG-20510,CLI-10255,Imane Alaoui,Ijara,394217.52,120,8.4,52,Debloque,2024-05-16 13:52:53,AG-002
ENG-20511,CLI-10174,Amine Slaoui,Mourabaha Auto,217944.42,48,3.54,65,Surveillance,2023-04-20 10:29:35,AG-008
ENG-20512,CLI-10377,Amina Berrada,Mourabaha Immo,960394.16,240,6.03,25,En analyse,2023-07-16 11:34:50,AG-002
ENG-20513,CLI-10272,Youssef Hakim,Ijara,349751.83,120,7.9,20,Valide,2024-04-18 08:48:09,AG-008
ENG-20514,CLI-10254,Khalid Zniber,Investissement PME,1273121.11,36,3.94,71,Valide,2023-05-10 12:27:43,AG-003
ENG-20515,CLI-10376,Amine Zniber,Investissement PME,1300221.78,84,3.91,84,Debloque,2025-01-02 11:45:16,AG-001
ENG-20516,CLI-10151,Hind Slaoui,Ijara,348853.75,120,4.27,90,Debloque,2025-05-16 08:50:55,AG-010
ENG-20517,CLI-10086,Hind Berrada,Investissement PME,1464280.7,48,8.9,89,Surveillance,2024-02-27 08:14:38,AG-008
ENG-20518,CLI-10307,Khalid Fassi-Fihri,Mourabaha Immo,380295.72,240,5.08,82,Debloque,2023-04-20 08:46:00,AG-001
ENG-20519,CLI-10199,Abdellah Lamrani,Mourabaha Immo,563423.82,180,5.47,86,Debloque,2026-11-05 11:54:20,AG-001
ENG-20520,CLI-10436,Amine Fassi-Fihri,Mourabaha Auto,20000,60,5.77,41,Surveillance,2023-03-08 15:08:45,AG-004
ENG-20521,CLI-10227,Salma Jai,Investissement PME,555044.02,60,8.5,34,Debloque,2023-01-22 15:57:35,AG-002
ENG-20522,CLI-10455,Amine Kabbaj,Credit Tresorerie,205900.0,12,7.9,54,Valide,2024-06-06 08:30:25,AG-006
ENG-20523,CLI-10230,Youssef El Amrani,Mourabaha Immo,547683.89,120,5.26,71,Surveillance,2023-03-02 11:59:26,AG-003
ENG-20524,CLI-10250,Amine El Fassi,Mourabaha Immo,402643.49,180,4.21,47,Debloque,2024-11-16 09:12:24,AG-001
ENG-20525,CLI-10024,Driss Benjelloun,Investissement PME,851515.19,60,7.81,34,Debloque,2026-11-20 12:12:12,AG-002
ENG-20526,CLI-10160,Leila Bencheikh,Mourabaha Immo,890908.77,180,5.2,69,Contentieux,2024-12-07 08:20:54,AG-003
ENG-20527,CLI-10068,Youssef El Fassi,Ijara,89340.45,120,4.06,95,Debloque,2025-10-17 17:07:56,AG-008
ENG-20528,CLI-10076,Khadija El Amrani,Mourabaha Immo,496051.39,180,6.39,80,Debloque,2025-08-18 14:37:54,AG-002
ENG-20529,CLI-10190,Mehdi Zniber,Mourabaha Immo,616276.47,120,8.75,66,Valide,2025-04-16 10:48:14,AG-006
ENG-20530,CLI-10189,Karim Tazi,Mourabaha Auto,210378.96,48,6.74,88,Surveillance,2026-09-11 12:40:19,AG-008
ENG-20531,,Hicham Benjelloun,Mourabaha Immo,786909.61,180,8.05,40,Debloque,2023-03-18 17:27:07,AG-001
ENG-20532,CLI-10448,Nadia Balafrej,Mourabaha Auto,229540.87,48,4.54,34,Debloque,2024-03-09 11:12:34,AG-008
ENG-20533,CLI-10469,Hicham Alaoui,Mourabaha Immo,1059507.13,180,4.27,32,Debloque,2026-12-07 09:50:51,AG-007
ENG-20534,CLI-10352,Said Bennani,Investissement PME,1576083.64,60,8.79,25,Debloque,2025-10-25 08:33:56,AG-007
ENG-20535,CLI-10482,Hicham Idrissi,Mourabaha Immo,1065214.65,120,6.64,20,Valide,2024-10-15 16:26:37,AG-005
ENG-20536,CLI-10154,Zineb Jai,Mourabaha Auto,267393.05,36,8.37,34,Debloque,2026-05-20 17:57:03,AG-007
ENG-20537,CLI-10467,Fatima Alaoui,Mourabaha Immo,650258.73,240,6.1,92,Valide,2026-10-07 16:28:58,AG-007
ENG-20538,CLI-10410,Khadija Ouazzani,Mourabaha Immo,465096.32,120,5.46,69,Debloque,2024-05-03 08:13:16,AG-010
ENG-20539,CLI-10455,Amine Kabbaj,Ijara,342769.42,240,7.72,88,Debloque,2024-04-03 15:54:51,AG-006
ENG-20540,CLI-10014,Ahmed Lamrani,Mourabaha Auto,292689.73,36,8.09,31,Contentieux,2024-07-24 09:30:33,AG-004
ENG-20541,CLI-10425,Nadia Balafrej,Mourabaha Immo,1013328.56,120,8.45,73,Debloque,2024-10-20 16:30:38,AG-002
ENG-20542,CLI-10123,Mohamed El Amrani,Mourabaha Immo,438028.09,180,6.36,73,En analyse,2025-02-07 13:17:32,AG-005
ENG-20543,CLI-10276,Abdellah Alaoui,Mourabaha Immo,695666.18,240,8.57,91,Debloque,2024-09-01 14:31:05,AG-010
ENG-20544,CLI-10474,Samira Lamrani,Mourabaha Auto,211583.02,48,3.82,38,Debloque,2025-02-13 16:05:37,AG-004
ENG-20545,CLI-10238,Hind Fassi-Fihri,Credit Tresorerie,20000,12,6.81,52,En analyse,2024-10-19 09:30:58,AG-002
ENG-20546,CLI-10402,Salma Mouline,Mourabaha Immo,797790.92,120,5.37,73,Debloque,2023-10-25 14:12:46,AG-003
ENG-20547,CLI-10077,Amine Guedira,Credit Tresorerie,32924.61,12,7.69,23,Valide,2024-01-15 10:48:05,AG-007
ENG-20548,CLI-10342,Hicham Sbihi,Credit Tresorerie,41077.46,12,7.37,43,Debloque,2023-07-17 17:27:34,AG-004
ENG-20549,CLI-10411,Hind Jai,Mourabaha Auto,460346.45,48,8.76,43,Debloque,2026-11-20 08:56:03,AG-006
ENG-20550,CLI-10223,Khalid Bennani,Mourabaha Immo,397441.83,240,3.84,28,Surveillance,2025-04-16 16:46:30,AG-010
ENG-20551,CLI-10162,Khalid Bencheikh,Mourabaha Immo,573653.45,240,7.88,87,Valide,2023-03-26 16:23:48,AG-006
ENG-20552,CLI-10458,Samira Mouline,Mourabaha Immo,587475.57,120,8.24,90,Debloque,2025-08-24 16:57:08,AG-005
ENG-20553,CLI-10268,Mehdi Hakim,Mourabaha Immo,669629.97,120,3.52,31,Debloque,2023-02-09 17:58:19,AG-010
ENG-20554,CLI-10173,Khalid El Fassi,Credit Tresorerie,692690.45,36,7.92,72,Debloque,2024-10-21 17:04:22,AG-002
ENG-20555,CLI-10285,Samira Zniber,Mourabaha Auto,259212.42,48,5.57,46,Debloque,2023-12-24 11:49:57,AG-001
ENG-20556,CLI-10384,Mohamed Lamrani,Mourabaha Auto,20622.06,36,5.42,43,Debloque,2025-07-22 16:48:23,AG-008
ENG-20557,CLI-10470,Leila Slaoui,Credit Tresorerie,228699.57,36,4.58,35,Valide,2026-03-25 10:29:18,AG-007
ENG-20558,CLI-10299,Hicham Hakim,Ijara,388941.88,120,8.15,62,Debloque,2023-12-03 14:54:58,AG-010
ENG-20559,CLI-10330,Hicham Benjelloun,Mourabaha Auto,248230.48,48,4.28,32,Valide,2024-02-25 10:24:02,AG-006
ENG-20560,CLI-10127,Hassan Hakim,Ijara,431459.38,180,4.37,80,Surveillance,2024-06-17 13:37:23,AG-010
ENG-20561,CLI-10084,Fatima Fassi-Fihri,Ijara,440100.47,240,4.24,33,Valide,2024-10-05 15:44:17,AG-007
ENG-20562,CLI-10245,Khadija Slaoui,Mourabaha Immo,258944.82,120,6.21,50,Debloque,2023-02-18 12:22:25,AG-002
ENG-20563,CLI-10175,Said Fikri,Credit Tresorerie,563416.44,12,5.3,45,Debloque,2025-09-27 17:43:03,AG-010
ENG-20564,CLI-10434,Omar Mouline,Mourabaha Auto,288683.04,48,5.4,76,En analyse,2025-04-26 15:38:40,AG-003
ENG-20565,CLI-10069,Noureddine El Amrani,Mourabaha Immo,200565.4,120,4.17,83,En analyse,2023-04-26 16:17:51,AG-004
ENG-20566,CLI-10290,Mohamed Ouazzani,Mourabaha Immo,917331.48,180,4.2,94,Debloque,2024-10-06 08:14:07,AG-006
ENG-20567,CLI-10105,Khadija Fassi-Fihri,Mourabaha Immo,760078.25,120,8.14,22,Debloque,2025-04-26 09:28:10,AG-005
ENG-20568,CLI-10367,Khadija Fikri,Mourabaha Auto,243194.86,48,6.13,27,Debloque,2025-09-07 15:10:04,AG-008
ENG-20569,CLI-10281,Mohamed El Fassi,Mourabaha Auto,211013.16,48,5.13,57,Debloque,2026-01-21 12:43:10,AG-004
ENG-20570,CLI-10448,Nadia Balafrej,Ijara,394961.64,240,6.16,58,Valide,2025-02-05 17:50:40,AG-008
ENG-20571,CLI-10418,Khalid El Fassi,Ijara,511283.98,180,6.41,82,Debloque,2026-10-18 12:27:03,AG-006
ENG-20572,CLI-10453,Nadia Zniber,Ijara,617100.01,180,4.8,31,Valide,2026-06-12 10:10:50,AG-004
ENG-20573,CLI-10094,Mohamed Bennani,Mourabaha Auto,282642.84,60,7.08,92,Surveillance,2024-11-02 11:41:28,AG-009
ENG-20574,CLI-10110,Nadia Balafrej,Mourabaha Immo,263201.53,120,7.13,23,Valide,2025-02-11 13:46:22,AG-007
ENG-20575,CLI-10331,Amine Tazi,Mourabaha Immo,486876.47,180,4.48,54,,2026-01-09 14:24:01,AG-003
ENG-20576,CLI-10001,Ahmed Guedira,Ijara,459436.69,120,8.16,33,Valide,2026-02-04 14:30:10,AG-008
ENG-20577,CLI-10120,Zineb El Fassi,Ijara,136228.93,180,5.73,35,En analyse,2026-01-09 10:31:53,AG-004
ENG-20578,CLI-10135,Hassan Zniber,Mourabaha Immo,593211.26,180,5.86,53,Debloque,2023-04-18 14:03:51,AG-001
ENG-20579,CLI-10351,Youssef Zniber,Ijara,449044.86,120,4.14,59,En analyse,2024-05-05 15:55:15,AG-001
ENG-20580,CLI-10383,Youssef Jai,Mourabaha Immo,343173.92,120,8.05,29,Valide,2024-05-14 10:40:58,AG-001
ENG-20581,CLI-10491,Said Balafrej,Ijara,502828.95,120,4.65,48,En analyse,2026-06-14 12:46:50,AG-001
ENG-20582,CLI-10309,Ahmed Zniber,Mourabaha Immo,366875.59,120,5.61,83,Debloque,2026-01-25 09:15:45,AG-007
ENG-20583,CLI-10456,Fatima El Fassi,Mourabaha Immo,763780.59,180,7.02,40,Debloque,2023-09-19 14:47:13,AG-004
ENG-20584,CLI-10115,Leila Tazi,Ijara,366216.7,240,7.92,26,Debloque,2026-01-10 09:08:51,AG-001
ENG-20585,CLI-10228,Amina Tazi,Mourabaha Immo,767509.45,180,8.53,37,Valide,2024-10-16 08:14:06,AG-008
ENG-20586,CLI-10485,Soukaina Alaoui,Ijara,411805.74,120,5.16,89,Debloque,2024-08-08 13:08:15,AG-006
ENG-20587,CLI-10265,Driss Slaoui,Mourabaha Immo,835464.65,180,4.21,29,Debloque,2025-11-15 08:23:02,AG-002
ENG-20588,CLI-10227,Salma Jai,Mourabaha Auto,314805.13,60,5.43,41,Valide,2024-06-13 10:09:36,AG-002
ENG-20589,CLI-10075,Asmaa Lamrani,Mourabaha Auto,327440.92,24,5.45,41,Debloque,2023-07-27 11:43:43,AG-008
ENG-20590,CLI-10434,Omar Mouline,Mourabaha Immo,607545.75,240,6.48,25,Debloque,2024-10-18 11:13:46,AG-003
ENG-20591,CLI-10494,Said Fikri,Mourabaha Immo,589312.6,120,6.15,31,Debloque,2024-11-16 08:57:26,AG-003
ENG-20592,CLI-10033,Said Guedira,Mourabaha Auto,194575.79,60,8.57,35,Debloque,2024-05-01 14:33:16,AG-005
ENG-20593,CLI-10285,Samira Zniber,Ijara,269160.47,180,7.5,22,Valide,2023-02-15 08:13:16,AG-001
ENG-20594,CLI-10159,Khalid Hakim,Ijara,349388.69,180,4.94,69,Valide,2023-07-04 11:58:04,AG-010
ENG-20595,CLI-10180,Rachid El Amrani,Mourabaha Immo,469621.1,120,4.5,64,En analyse,2026-03-02 15:39:43,AG-005
ENG-20596,CLI-10500,Ahmed Hakim,Mourabaha Immo,583729.66,180,5.56,57,En analyse,2024-08-27 13:02:35,AG-007
ENG-20597,CLI-10409,Ahmed Balafrej,Credit Tresorerie,303412.05,36,4.75,94,Valide,2025-09-28 08:22:52,AG-010
ENG-20598,CLI-10168,Khalid El Amrani,Mourabaha Immo,891825.17,240,8.52,43,Debloque,2026-06-20 12:56:21,AG-004
ENG-20599,CLI-10196,Youssef Erraji,Ijara,479356.53,120,8.22,92,Debloque,2026-12-26 12:06:28,AG-009
ENG-20600,CLI-10434,Omar Mouline,Investissement PME,1299519.98,36,4.14,85,Debloque,2023-04-13 08:46:54,AG-003
ENG-20601,CLI-10287,Rachid Bennani,Mourabaha Auto,324537.75,60,5.23,81,Surveillance,2023-04-19 08:40:49,AG-009
ENG-20602,CLI-10140,Asmaa Zniber,Mourabaha Immo,638026.61,240,6.67,90,Debloque,2025-09-05 13:17:20,AG-007
ENG-20603,CLI-10112,Nadia Sbihi,Mourabaha Immo,751892.1,240,8.53,,Surveillance,2024-03-18 11:32:26,AG-004
ENG-20604,CLI-10372,Hicham Ouazzani,Mourabaha Auto,241855.3,60,8.63,32,Valide,2025-08-02 11:32:57,AG-001
ENG-20605,CLI-10154,Zineb Jai,Mourabaha Immo,461124.0,240,8.97,83,Valide,2023-04-02 11:21:49,AG-007
ENG-20606,CLI-10119,Said Ouazzani,Mourabaha Auto,349470.76,60,3.93,44,Valide,2024-09-26 13:22:14,AG-005
ENG-20607,CLI-10376,Amine Zniber,Mourabaha Immo,987090.75,180,6.97,86,En analyse,2026-06-05 12:26:34,AG-001
ENG-20608,CLI-10385,Youssef Benjelloun,Mourabaha Immo,563534.31,120,4.52,23,Debloque,2024-07-28 08:22:25,AG-005
ENG-20609,CLI-10366,Youssef Hakim,Mourabaha Immo,791558.32,120,8.39,36,Debloque,2023-03-27 16:20:24,AG-004
ENG-20610,CLI-10174,Amine Slaoui,Mourabaha Immo,362948.92,240,6.33,54,Valide,2023-02-26 16:24:33,AG-008
ENG-20611,CLI-10156,Hassan Alaoui,Mourabaha Immo,63060.89,240,8.81,34,Contentieux,2025-06-04 12:07:49,AG-008
ENG-20612,CLI-10243,Zineb El Amrani,Credit Tresorerie,305781.78,36,6.89,55,Debloque,2024-11-21 08:53:33,AG-007
ENG-20613,CLI-10090,Mehdi Fassi-Fihri,Ijara,274446.03,240,8.81,45,Debloque,2026-10-17 15:35:54,AG-008
ENG-20614,CLI-10125,Ahmed El Fassi,Ijara,160272.7,240,4.98,80,En analyse,2023-01-10 11:51:36,AG-003
ENG-20615,CLI-10104,Soukaina Fikri,Mourabaha Immo,887967.2,240,7.77,50,Debloque,2025-03-23 10:30:28,AG-010
ENG-20616,CLI-10365,Hind Benjelloun,Ijara,257675.1,120,6.11,62,Debloque,2025-10-07 15:54:00,AG-003
ENG-20617,CLI-10264,Karim Mouline,Mourabaha Immo,1334683.93,120,6.15,60,Debloque,2025-10-05 13:06:03,AG-003
ENG-20618,CLI-10453,Nadia Zniber,Ijara,344888.3,120,8.96,32,Valide,2026-06-28 17:02:05,AG-004
ENG-20619,CLI-10470,Leila Slaoui,Investissement PME,1042825.22,84,5.97,83,Debloque,2026-04-01 16:44:54,AG-007
ENG-20620,CLI-10391,Mohamed Fikri,Mourabaha Auto,249160.75,24,8.75,57,Debloque,2024-06-21 13:13:43,AG-003
ENG-20621,CLI-10035,Hassan El Amrani,Credit Tresorerie,230042.57,24,6.73,38,Debloque,2024-12-13 15:16:32,AG-005
ENG-20622,CLI-10324,Meryem Kabbaj,Mourabaha Immo,458541.52,240,6.75,94,Debloque,2026-09-23 08:43:46,AG-006
ENG-20623,CLI-10228,Amina Tazi,Mourabaha Auto,118565.68,60,6.82,65,Surveillance,2026-02-09 12:53:18,AG-008
ENG-20624,CLI-10015,Hicham Benjelloun,Credit Tresorerie,147605.92,24,5.12,36,Debloque,2023-08-23 08:37:34,AG-001
ENG-20625,CLI-10194,Leila Kabbaj,Credit Tresorerie,203193.72,12,5.59,30,Valide,2026-02-21 17:02:09,AG-001
ENG-20626,CLI-10132,Hind El Amrani,Ijara,368519.56,180,8.32,74,Valide,2025-04-25 17:49:03,AG-008
ENG-20627,CLI-10153,Abdellah El Fassi,Mourabaha Auto,198663.22,48,7.64,22,Debloque,2024-03-13 09:18:26,AG-008
ENG-20628,CLI-10091,Khalid Mouline,Credit Tresorerie,259611.53,24,4.95,53,Contentieux,2026-05-07 12:38:55,AG-007
ENG-20629,CLI-10456,Fatima El Fassi,Investissement PME,808935.64,84,6.34,28,Debloque,2025-02-01 15:34:11,AG-004
ENG-20630,CLI-10348,Abdellah El Amrani,Mourabaha Immo,548895.36,120,7.26,82,En analyse,2023-04-26 10:11:45,AG-003
ENG-20631,CLI-10380,Amine Alaoui,Credit Tresorerie,413303.68,24,7.8,87,Debloque,2025-12-18 09:09:55,AG-001
ENG-20632,CLI-10209,Fatima Benjelloun,Mourabaha Auto,374332.95,24,6.66,94,Debloque,2024-12-07 13:42:15,AG-002
ENG-20633,CLI-10049,Mehdi Bennani,Mourabaha Immo,596630.3,120,5.57,55,Contentieux,2024-02-17 16:27:46,AG-002
ENG-20634,CLI-10079,Asmaa Sbihi,Investissement PME,1001919.23,84,7.86,24,Debloque,2025-03-16 08:27:28,AG-004
ENG-20635,CLI-10472,Driss Sbihi,Mourabaha Auto,117847.73,24,8.01,32,Valide,2026-04-23 08:40:20,AG-004
ENG-20636,CLI-10225,Asmaa Fikri,Mourabaha Auto,327683.99,36,8.7,64,Surveillance,2024-04-05 12:09:25,AG-007
ENG-20637,CLI-10280,Rachid El Fassi,Mourabaha Immo,1159946.57,120,6.36,53,Valide,2023-11-26 16:49:31,AG-003
ENG-20638,CLI-10214,Zineb Balafrej,Mourabaha Immo,629351.83,240,8.96,69,Surveillance,2023-12-24 09:36:26,AG-005
ENG-20639,CLI-10074,Youssef Berrada,Mourabaha Auto,214731.11,60,8.34,56,Debloque,2025-01-04 13:33:46,AG-008
ENG-20640,CLI-10126,Omar Bennani,Mourabaha Immo,1019897.47,120,4.55,31,Contentieux,2023-12-10 15:15:16,AG-006
ENG-20641,CLI-10338,Khalid Fikri,Ijara,201080.48,240,3.73,82,En analyse,2026-07-03 17:31:33,AG-002
ENG-20642,CLI-10323,Hicham Tazi,Mourabaha Auto,362539.59,24,4.14,64,Surveillance,2026-12-20 09:35:37,AG-006
ENG-20643,CLI-10306,Mohamed Berrada,Ijara,453988.91,240,7.36,50,Valide,2024-07-20 14:37:09,AG-008
ENG-20644,CLI-10405,Omar Bencheikh,Mourabaha Auto,438084.5,36,8.57,32,En analyse,2026-12-09 16:55:06,AG-002
ENG-20645,CLI-10284,Mehdi Mouline,Ijara,435057.63,180,5.3,94,Surveillance,2023-09-25 13:09:41,AG-001
ENG-20646,CLI-10004,Hicham Erraji,Ijara,434062.77,240,7.62,33,Debloque,2024-09-04 14:07:35,AG-001
ENG-20647,CLI-10211,Said Idrissi,Investissement PME,1924457.12,60,7.97,81,Valide,2024-09-14 09:04:02,AG-007
ENG-20648,CLI-10198,Samira El Fassi,Mourabaha Immo,174691.51,120,7.47,63,Valide,2024-06-16 10:48:47,AG-004
ENG-20649,CLI-10475,Youssef Sbihi,Mourabaha Immo,623767.71,180,6.61,29,Debloque,2026-04-08 14:40:43,AG-008
ENG-20650,CLI-10109,Imane Kabbaj,Mourabaha Immo,658309.88,180,6.39,42,Debloque,2026-09-01 15:10:20,AG-004
ENG-20651,CLI-10336,Zineb Erraji,Credit Tresorerie,269771.83,36,4.88,41,Valide,2024-09-11 15:41:14,AG-007
ENG-20652,CLI-10472,Driss Sbihi,Mourabaha Auto,524155.63,36,4.54,55,Debloque,2024-11-24 15:12:59,AG-004
ENG-20653,CLI-10273,Mehdi Sbihi,Mourabaha Immo,619739.07,240,3.96,90,Valide,2026-08-05 14:50:13,AG-001
ENG-20654,CLI-10075,Asmaa Lamrani,Ijara,307927.22,240,8.74,70,En analyse,2024-01-22 15:15:00,AG-008
ENG-20655,CLI-10038,Leila Bennani,Mourabaha Immo,835605.49,240,8.81,77,Valide,2023-10-10 15:11:08,AG-005
ENG-20656,CLI-10247,Khadija El Amrani,Ijara,435215.89,180,8.68,92,Surveillance,2026-09-17 16:13:36,AG-004
ENG-20657,CLI-10167,Khadija Idrissi,Mourabaha Immo,350275.1,240,6.62,85,Valide,2023-03-21 12:09:23,AG-003
